рейтинг,название на русском,назвение на английском,год выпуска,рейтинг кинопоиска
513,Убийство в Восточном экспрессе,Murder on the Orient Express,2017,6.9
514,Такси,Taxi,1998,7.9
515,Другие,,2018,7.1
516,Зависнуть в Палм-Спрингс,Palm Springs,2020,7.3
517,Кривые линии Бога,Los renglones torcidos de Dios,2022,7.0
518,Средневековье,Medieval,2022,6.8
519,Отряд самоубийц: Миссия навылет,The Suicide Squad,2021,6.7
520,Дэдпул,Deadpool,2016,7.6
521,The Телки,,2022,7.2
522,Первому игроку приготовиться,Ready Player One,2018,7.5
523,Один дома,Home Sweet Home Alone,2021,2.7
524,Трасса 60,Interstate 60,2001,8.0
525,Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,8.5
526,Тариф Новогодний,,2008,7.1
527,Тед Лассо,Ted Lasso,2020,8.3
528,"Тот, кто сидит внутри",Nae aneui geunom,2019,7.1
529,Олдбой,Oldeuboi,2003,8.1
530,Леон,Léon,1994,8.7
531,Воронины,,2009,5.3
532,Миллиарды,Billions,2016,8.2
533,Дама с собачкой,,2021,
534,Ваша честь,,2021,8.1
535,"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",2017,8.1
536,Моана,Moana,2016,7.8
537,Шестое чувство,The Sixth Sense,1999,8.2
538,Рождество кота Боба,A Christmas Gift from Bob,2020,7.5
539,"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",1998,8.6
540,Одни из нас,The Last of Us,2023,
541,Однажды в сказке,Once Upon a Time,2011,7.9
542,Счастье в конверте,,2019,8.1
543,911 служба спасения,9-1-1,2018,7.8
544,Всегда говори «ДА»,Yes Man,2008,7.8
545,Иван Царевич и Серый Волк 4,,2019,7.4
546,Чужой,Alien,1979,8.1
547,Мальчишник в Вегасе,The Hangover,2009,7.9
548,Чем мы заняты в тени,What We Do in the Shadows,2019,8.1
549,Король и Шут,,50,
550,Кролик Джоджо,Jojo Rabbit,2019,7.9
551,Паранормальные явления. Дом призраков,Deadstream,2022,5.7
552,Мистер и миссис Смит,Mr. & Mrs. Smith,2005,7.5
553,Эпидемия,,2018,7.3
554,Блондинка,Blonde,2022,6.2
555,Пианист,The Pianist,2002,8.5
556,Еще по одной,Druk,2020,7.5
557,Преступления будущего,Crimes of the Future,2022,5.7
558,Безумная Хайди,Mad Heidi,2022,
559,Москва слезам не верит,,1979,8.4
